id;ELEVATION;NAME;FNAME;STATION_TYP;T;SRA;SCE;SCEa;SSV;P;F;RGLB;X;Y;nut3;nam
B1PLUM01;303;Plumlov;Plumlov;MSS;;SRA;SCE;;;;;;17.0128;49.4683;Olomoucky;Olomoucky/B1PLUM01
B1PODI01;375;Podivice;Podivice;ASS;;SRA;SCE;;;;;;17.003611;49.369444;Jihomoravsky;Jihomoravsky/B1PODI01
B1PROS01;214.75;ProstÏjov;ProstÏjov;AMS;T;SRA;SCE;;SSV;P;F;;17.134722;49.4525;Olomoucky;Olomoucky/B1PROS01
B1PROT01;675;Protivanov;Protivanov;AKS1;T;SRA;SCE;;SSV;;F;;16.83105;49.47782;Olomoucky;Olomoucky/B1PROT01
B1RADE01;240;RadÏjov;RadÏjov;MSS;;SRA;SCE;;;;;;17.3348;48.8639;Jihomoravsky;Jihomoravsky/B1RADE01
B1SLIN01;362;SlaviËÌn;SlaviËÌn;MSS;;SRA;SCE;;;;;;17.8783;49.0853;Zlinsky;Zlinsky/B1SLIN01
B1STHR01;412;Star˝ Hrozenkov;Star˝ Hrozenkov;MSS;;SRA;SCE;;;;;;17.8614;48.9681;Zlinsky;Zlinsky/B1STHR01
B1STIT01;315;ätÌtn· nad Vl·¯Ì - Popov;ätÌtn· nad Vl·¯Ì - Popov;AKS1;T;SRA;SCE;;SSV;;F;;17.9711;49.0728;Zlinsky;Zlinsky/B1STIT01
B1STME01;221;StarÈ MÏsto;StarÈ MÏsto;AKS1;T;SRA;SCE;;SSV;;F;;17.4322;49.0917;Zlinsky;Zlinsky/B1STME01
B1STRN01;383;Str·nÌ;Str·nÌ;AKS1;T;SRA;SCE;;SSV;;F;;17.7078;48.9028;Zlinsky;Zlinsky/B1STRN01
B1STRZ01;176;Str·ûnice;Str·ûnice;AKS1;T;SRA;SCE;;SSV;;F;;17.3381;48.8992;Jihomoravsky;Jihomoravsky/B1STRZ01
B1UHBR01;222;Uhersk˝ Brod;Uhersk˝ Brod;MSS;;SRA;SCE;;;;;;17.6555;49.0255;Zlinsky;Zlinsky/B1UHBR01
B1UJED01;336;⁄jezdsko;⁄jezdsko;MSS;;SRA;SCE;;;;;;17.364444;49.211944;Zlinsky;Zlinsky/B1UJED01
B1VEJATT;961;Velk· Javo¯ina;Velk· Javo¯ina;TOTAL;;;;;;;;;17.6697;48.8553;Zlinsky;Zlinsky/B1VEJATT
B1VELI01;392;ZlÌn;ZlÌn, VelÌkov·;MSS;;SRA;SCE;;;;;;17.7606;49.2875;Zlinsky;Zlinsky/B1VELI01
B1VELV01;289;Velk· nad VeliËkou;Velk· nad VeliËkou;MSS;;SRA;SCE;;;;;;17.5167;48.8789;Jihomoravsky;Jihomoravsky/B1VELV01
B1VIZO01;313;Vizovice;Vizovice;AKS1;T;SRA;SCE;;SSV;;F;;17.84361;49.22297;Zlinsky;Zlinsky/B1VIZO01
B1VKLO01;402;ValaöskÈ Klobouky;ValaöskÈ Klobouky;ASS;;SRA;SCE;;;;;;18.015;49.139167;Zlinsky;Zlinsky/B1VKLO01
B1ZLIN01;283;ZlÌn;ZlÌn;AKS3;T;SRA;SCE;;;;;;17.643333;49.236667;Zlinsky;Zlinsky/B1ZLIN01
B2BABI01;470;Babice nad Svitavou;Babice nad Svitavou;MSS;;SRA;SCE;;;;;;16.6958;49.2889;Jihomoravsky;Jihomoravsky/B2BABI01
B2BATE01;643;Batelov;Batelov, Nov· Ves;MSS;;SRA;SCE;;;;;;15.355278;49.278056;Vysocina;Vysocina/B2BATE01
B2BITO01;425;BÌtov;BÌtov;MSS;;SRA;SCE;;;;;;15.73;48.938333;Jihomoravsky;Jihomoravsky/B2BITO01
B2BJUN01;260;Brno;Brno, Jundrov;MSS;;SRA;SCE;;;;;;16.5608;49.2019;Jihomoravsky;Jihomoravsky/B2BJUN01
B2BLAN01;299;Blansko;Blansko;MSS;;SRA;SCE;;;;;;16.6503;49.3597;Jihomoravsky;Jihomoravsky/B2BLAN01
B2BOHD01;583;Bohdalov;Bohdalov;MSS;;SRA;SCE;;;;;;15.871783;49.481656;Vysocina;Vysocina/B2BOHD01
