"id";"X";"Y";"ELEVATION";"NAME";"FNAME";"STATION_TYP";"T";"SRA";"SCE";"SCEa";"SSV";"P";"F";"RGLB";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";"pres";"params"
"B1STRN01";17.7078;48.9028;383;"Str·nÌ";"Str·nÌ";"AKS1";TRUE;"SRA";"SCE";NA;"SSV";NA;FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B1STRZ01";17.3381;48.8992;176;"Str·ûnice";"Str·ûnice";"AKS1";TRUE;"SRA";"SCE";NA;"SSV";NA;FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B1UHBR01";17.6555;49.0255;222;"Uhersk˝ Brod";"Uhersk˝ Brod";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1UJED01";17.364444;49.211944;336;"⁄jezdsko";"⁄jezdsko";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1VEJATT";17.6697;48.8553;961;"Velk· Javo¯ina";"Velk· Javo¯ina";"TOTAL";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
"B1VELI01";17.7606;49.2875;392;"ZlÌn";"ZlÌn, VelÌkov·";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1VELV01";17.5167;48.8789;289;"Velk· nad VeliËkou";"Velk· nad VeliËkou";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1VIZO01";17.84361;49.22297;313;"Vizovice";"Vizovice";"AKS1";TRUE;"SRA";"SCE";NA;"SSV";NA;FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B1VKLO01";18.015;49.139167;402;"ValaöskÈ Klobouky";"ValaöskÈ Klobouky";"ASS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1ZLIN01";17.643333;49.236667;283;"ZlÌn";"ZlÌn";"AKS3";TRUE;"SRA";"SCE";NA;NA;NA;NA;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";NA;"wind";NA;7
"B2BABI01";16.6958;49.2889;470;"Babice nad Svitavou";"Babice nad Svitavou";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2BATE01";15.355278;49.278056;643;"Batelov";"Batelov, Nov· Ves";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2BITO01";15.73;48.938333;425;"BÌtov";"BÌtov";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2BJUN01";16.5608;49.2019;260;"Brno";"Brno, Jundrov";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2BLAN01";16.6503;49.3597;299;"Blansko";"Blansko";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2BOHD01";15.871783;49.481656;583;"Bohdalov";"Bohdalov";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2BOZI01";16.2881;48.8344;216;"Boûice";"Boûice";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
