"id";"ELEVATION";"NAME";"FNAME";"STATION_TYP";"T";"SRA";"SCE";"SCEa";"SSV";"P";"F";"RGLB";"X";"Y";"nut3";"nam";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";"pres";"params"
"B1KRAL01";210;"Kralice na HanÈ";"Kralice na HanÈ";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";17.1827;49.4597;"Olomoucky";"Olomoucky/B1KRAL01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1KROM01";233;"KromÏ¯Ìû";"KromÏ¯Ìû";"AKS1";TRUE;"SRA";"SCE";"";"SSV";"";FALSE;"";17.3653;49.2847;"Zlinsky";"Zlinsky/B1KROM01";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B1KVAS01";190;"Kvasice";"Kvasice";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";17.4703;49.2453;"Zlinsky";"Zlinsky/B1KVAS01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1LYSO01";275;"Lysovice";"Lysovice";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";16.968611;49.216667;"Jihomoravsky";"Jihomoravsky/B1LYSO01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1MSLI01";289;"Morkovice-SlÌûany";"Morkovice-SlÌûany, SlÌûany";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";17.2319;49.2417;"Zlinsky";"Zlinsky/B1MSLI01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1NAMH01";247;"N·mÏöù na HanÈ";"N·mÏöù na HanÈ";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";17.065;49.605;"Olomoucky";"Olomoucky/B1NAMH01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1NAPA01";185;"Napajedla";"Napajedla";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";17.5167;49.1833;"Zlinsky";"Zlinsky/B1NAPA01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1NIVN01";241;"Nivnice";"Nivnice";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";17.64502;48.98061;"Zlinsky";"Zlinsky/B1NIVN01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1PLUM01";303;"Plumlov";"Plumlov";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";17.0128;49.4683;"Olomoucky";"Olomoucky/B1PLUM01";"tmax";"tavg";"tmin";"humid";"prec";"snow";NA;"wind";NA;7
"B1PODI01";375;"Podivice";"Podivice";"ASS";NA;"SRA";"SCE";"";"";"";NA;"";17.003611;49.369444;"Jihomoravsky";"Jihomoravsky/B1PODI01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1PROS01";214.75;"ProstÏjov";"ProstÏjov";"AMS";TRUE;"SRA";"SCE";"";"SSV";"P";FALSE;"";17.134722;49.4525;"Olomoucky";"Olomoucky/B1PROS01";NA;NA;NA;NA;NA;NA;NA;NA;NA;0
"B1PROT01";675;"Protivanov";"Protivanov";"AKS1";TRUE;"SRA";"SCE";"";"SSV";"";FALSE;"";16.83105;49.47782;"Olomoucky";"Olomoucky/B1PROT01";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B1RADE01";240;"RadÏjov";"RadÏjov";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";17.3348;48.8639;"Jihomoravsky";"Jihomoravsky/B1RADE01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1SLIN01";362;"SlaviËÌn";"SlaviËÌn";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";17.8783;49.0853;"Zlinsky";"Zlinsky/B1SLIN01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1STHR01";412;"Star˝ Hrozenkov";"Star˝ Hrozenkov";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";17.8614;48.9681;"Zlinsky";"Zlinsky/B1STHR01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1STIT01";315;"ätÌtn· nad Vl·¯Ì - Popov";"ätÌtn· nad Vl·¯Ì - Popov";"AKS1";TRUE;"SRA";"SCE";"";"SSV";"";FALSE;"";17.9711;49.0728;"Zlinsky";"Zlinsky/B1STIT01";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B1STME01";221;"StarÈ MÏsto";"StarÈ MÏsto";"AKS1";TRUE;"SRA";"SCE";"";"SSV";"";FALSE;"";17.4322;49.0917;"Zlinsky";"Zlinsky/B1STME01";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B1STRN01";383;"Str·nÌ";"Str·nÌ";"AKS1";TRUE;"SRA";"SCE";"";"SSV";"";FALSE;"";17.7078;48.9028;"Zlinsky";"Zlinsky/B1STRN01";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
