"Stanice.ID","JmÈno.stanice","ZaË·tek.mÏ¯enÌ","Konec.mÏ¯enÌ","ZemÏpisn·.dÈlka","ZemÏpisn·.öÌ¯ka","Nadmo¯sk·.v˝öka","element"
"B1HODO01","HodonÌn",1961-01-01,1971-08-31,17.1317,48.8575,180,"F_N"
"B1HODO01","HodonÌn",1971-09-01,1972-12-31,17.1358,48.8536,180,"F_N"
"B1HODO01","HodonÌn",1973-01-01,1977-06-30,17.1206,48.8456,160,"F_N"
"B1HODO01","HodonÌn",1977-07-01,1978-07-31,17.1208,48.8564,187,"F_N"
"B1HODO01","HodonÌn",1978-11-01,1980-06-30,17.1419,48.8658,186,"F_N"
"B1HODO01","HodonÌn",1981-05-01,1986-04-30,17.1403,48.8594,164,"F_N"
"B1HODO01","HodonÌn",1986-09-01,1992-02-29,17.1444,48.8628,164,"F_N"
"B1HODO01","HodonÌn",1992-08-01,2003-06-09,17.0972,48.8314,161,"F_N"
"B1HODO01","HodonÌn",2003-06-10,2017-11-30,17.1456,48.8617,174,"F_N"
"B1HODO01","HodonÌn",2017-12-01,2020-12-31,17.104872,48.854292,172,"F_N"
"B1HODO01","HodonÌn",1961-01-01,1971-08-31,17.1317,48.8575,180,"H_N"
"B1HODO01","HodonÌn",1971-09-01,1972-12-31,17.1358,48.8536,180,"H_N"
"B1HODO01","HodonÌn",1973-01-01,1977-06-30,17.1206,48.8456,160,"H_N"
"B1HODO01","HodonÌn",1977-07-01,1978-07-31,17.1208,48.8564,187,"H_N"
"B1HODO01","HodonÌn",1978-11-01,1980-06-30,17.1419,48.8658,186,"H_N"
"B1HODO01","HodonÌn",1981-05-01,1986-04-30,17.1403,48.8594,164,"H_N"
"B1HODO01","HodonÌn",1986-09-01,1992-02-29,17.1444,48.8628,164,"H_N"
"B1HODO01","HodonÌn",1992-08-01,2003-06-09,17.0972,48.8314,161,"H_N"
"B1HODO01","HodonÌn",2003-06-10,2017-11-30,17.1456,48.8617,174,"H_N"
"B1HODO01","HodonÌn",2017-12-01,2020-12-31,17.104872,48.854292,172,"H_N"
"B1HODO01","HodonÌn",1961-01-01,1971-08-31,17.1317,48.8575,180,"SCE_N"
"B1HODO01","HodonÌn",1971-09-01,1972-12-31,17.1358,48.8536,180,"SCE_N"
"B1HODO01","HodonÌn",1973-01-01,1977-06-30,17.1206,48.8456,160,"SCE_N"
"B1HODO01","HodonÌn",1977-07-01,1978-07-31,17.1208,48.8564,187,"SCE_N"
"B1HODO01","HodonÌn",1978-11-01,1980-06-30,17.1419,48.8658,186,"SCE_N"
"B1HODO01","HodonÌn",1981-05-01,1986-04-30,17.1403,48.8594,164,"SCE_N"
"B1HODO01","HodonÌn",1986-09-01,1992-02-29,17.1444,48.8628,164,"SCE_N"
"B1HODO01","HodonÌn",1992-08-01,2003-06-09,17.0972,48.8314,161,"SCE_N"
"B1HODO01","HodonÌn",2003-06-10,2017-11-30,17.1456,48.8617,174,"SCE_N"
"B1HODO01","HodonÌn",2017-12-01,2020-12-31,17.104872,48.854292,172,"SCE_N"
"B1HODO01","HodonÌn",1961-01-01,1971-08-31,17.1317,48.8575,180,"SNO_N"
"B1HODO01","HodonÌn",1971-09-01,1972-12-31,17.1358,48.8536,180,"SNO_N"
"B1HODO01","HodonÌn",1973-01-01,1977-06-30,17.1206,48.8456,160,"SNO_N"
"B1HODO01","HodonÌn",1977-07-01,1978-07-31,17.1208,48.8564,187,"SNO_N"
"B1HODO01","HodonÌn",1978-11-01,1980-06-30,17.1419,48.8658,186,"SNO_N"
"B1HODO01","HodonÌn",1981-05-01,1986-04-30,17.1403,48.8594,164,"SNO_N"
"B1HODO01","HodonÌn",1986-09-01,1992-02-29,17.1444,48.8628,164,"SNO_N"
"B1HODO01","HodonÌn",1992-08-01,2003-06-09,17.0972,48.8314,161,"SNO_N"
"B1HODO01","HodonÌn",2003-06-10,2017-11-30,17.1456,48.8617,174,"SNO_N"
"B1HODO01","HodonÌn",2017-12-01,2020-12-31,17.104872,48.854292,172,"SNO_N"
"B1HODO01","HodonÌn",1961-01-01,1971-08-31,17.1317,48.8575,180,"SRA_N"
"B1HODO01","HodonÌn",1971-09-01,1972-12-31,17.1358,48.8536,180,"SRA_N"
"B1HODO01","HodonÌn",1973-01-01,1977-06-30,17.1206,48.8456,160,"SRA_N"
"B1HODO01","HodonÌn",1977-07-01,1978-07-31,17.1208,48.8564,187,"SRA_N"
"B1HODO01","HodonÌn",1978-11-01,1980-06-30,17.1419,48.8658,186,"SRA_N"
"B1HODO01","HodonÌn",1981-05-01,1986-04-30,17.1403,48.8594,164,"SRA_N"
